"Record ID","About Us","Annual Revenue","Campaign of last booking in meetings tool","City","Close Date","Company Domain Name","Company Keywords","Company name","Company owner","Country/Region","Country/Region Code","Create Date","Created by user ID","Date of last meeting booked in meetings tool","Days to Close","Description","Employee range","Facebook Company Page","Facebook Fans","First Contact Create Date","First Conversion","First Conversion Date","First Deal Created Date","First Touch Converting Campaign","Google Plus Page","Has been enriched","HubSpot Team","Ideal Customer Profile Tier","Industry","Industry group","Intent Signals active","Is Public","Last Activity Date","Last Booked Meeting Date","Last Contacted","Last Engagement Date","Last Logged Call Date","Last Logged Outgoing Email Date","Last Modified Date","Last Open Task Date","Last Touch Converting Campaign","Last Tracked Visit Time","Latest Traffic Source","Latest Traffic Source Data 1","Latest Traffic Source Data 2","Latest Traffic Source Timestamp","Lead Status","Lifecycle Stage","LinkedIn Bio","LinkedIn Company Page","Linkedin handle","Logo URL","Medium of last booking in meetings tool","Merged Company IDs","Next Activity Date","Number of Associated Contacts","Number of Associated Deals","Number of blockers","Number of child companies","Number of contacts with a buying role","Number of decision makers","Number of Employees","Number of Form Submissions","Number of open deals","Number of Pageviews","Number of Sessions","Number of times contacted","Original Traffic Source","Original Traffic Source Drill-Down 1","Original Traffic Source Drill-Down 2","Owner assigned date","Parent Company","Phone Number","Postal Code","Quick context","Recent Conversion","Recent Conversion Date","Recent Deal Amount","Recent Deal Close Date","Recent Intent Signals","Record source","Record source detail 1","Record source detail 2","Record source detail 3","Revenue range","Source of last booking in meetings tool","State/Region","State/Region Code","Street Address","Street Address 2","Target Account","Time First Seen","Time Last Seen","Time of First Session","Time of Last Session","Time Zone","Total Money Raised","Total open deal value","Total Revenue","Tracked Page Views (Last 30 Days)","Tracked Visitors (Last 30 Days)","Twitter Bio","Twitter Followers","Twitter Handle","Type","Updated by user ID","Web Technologies","Website URL","Year Founded","Additional Domains","Primary Company","Associated Partner Client","Ticket with Primary Company","Associated Deal plan","Child Company","Associated Deal","Quotes with Billing Company","Associated Call","Associated Contact","Associated Cart","Order with Billing Company","Associated Subscription","Partner Client with Primary Company","Associated Payment Link","Deal with Primary Company","Associated Customer success alert","Associated Quote","Associated Form submission","Billing Contact","Associated Conversation session","Associated Task","Associated Company","Parent Company","Associated Postal Mail","Cart with Primary Company","Associated Meeting","Associated Communication","Associated Note","Associated Email","Contact with Primary Company","Associated Invoice","Associated Sales recommendation","Associated Payment","Associated Credit memo","Associated Lead","Associated Order","Lead with Primary Company","Associated Ticket","Associated Survey response","Primary Company IDs","Associated Partner Client IDs","Ticket with Primary Company IDs","Associated Deal plan IDs","Child Company IDs","Associated Deal IDs","Quotes with Billing Company IDs","Associated Call IDs","Associated Contact IDs","Associated Cart IDs","Order with Billing Company IDs","Associated Subscription IDs","Partner Client with Primary Company IDs","Associated Payment Link IDs","Deal with Primary Company IDs","Associated Customer success alert IDs","Associated Quote IDs","Associated Form submission IDs","Billing Contact IDs","Associated Conversation session IDs","Associated Task IDs","Associated Company IDs","Parent Company IDs","Associated Postal Mail IDs","Cart with Primary Company IDs","Associated Meeting IDs","Associated Communication IDs","Associated Note IDs","Associated Email IDs","Contact with Primary Company IDs","Associated Invoice IDs","Associated Sales recommendation IDs","Associated Payment IDs","Associated Credit memo IDs","Associated Lead IDs","Associated Order IDs","Lead with Primary Company IDs","Associated Ticket IDs","Associated Survey response IDs"
"157819194059","","","","","","etasmaress.com","","","","","","2025-09-15 15:54","","","","","","","","2025-09-15 15:54","","","","","","","","","","","","","","","","","","","2025-09-15 15:55","","","","Offline Sources","MOBILE_IOS","business-card-scanner","2025-09-15 15:54","","Lead","","","","","","","","1.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","","Offline Sources","MOBILE_IOS","business-card-scanner","","","","","","","","","","","CRM Setting","""Create and associate companies with contacts"" setting","","","","","","","","","","2025-09-15 15:54","","","","","","","","","","","","","","","","etasmaress.com","","","","","","","","","","","Er Ramasoss FECEV (chairman@etasmaress.com)","","","","","","","","","","","","","","","","","","","","","Er Ramasoss FECEV (chairman@etasmaress.com)","","","","","","","","","","","","","","","","","","245142636268","","","","","","","","","","","","","","","","","","","","","245142636268","","","","","","","","",""
"156673483476","","","","Bacau","","RWD.in","B2B; B2C; Building Management; Construction; Consulting & Professional Services; Housing; Real Estate; Remodelers; Residential","RWD","","Romania","RO","2025-09-13 20:37","Vivek Sridhar","","","RWD specializes in constructing luxury apartments and flats in Chennai, with a focus on delivering high-quality residential properties across multiple cities.","51 - 250","https://facebook.com/rwd.ind","","","","","2025-09-13 11:40","","","true","","","Real Estate","Capital Goods","","false","","","","","","","2025-11-01 05:05","","","","","","","","","Opportunity","","https://linkedin.com/company/ramky-wavoo-developers-private-limited","company/ramky-wavoo-developers-private-limited","https://na1.hubspot-logos.com/34521620-f76b-4aad-94bc-3d21350af01a","","","","0.0","1.0","0.0","0.0","0.0","0.0","150.0","","1.0","","","","","","","","","","600029","","","","","","","Mobile iOS","","","","$10M - $50M","","Bacau","BC","Poonamallee High Road","","","","","","","","","","","","","","","rwdchennai","","Vivek Sridhar","DoubleClick Ads; Facebook Advertiser; Google Adwords; Google Analytics; Google Maps; Google Tag Manager; Microsoft Project; Nginx; Piwik; Twitter Button; Wordpress; Youtube","RWD.in","","","","","","","","ERROR:  #VALUE!","","","","","","","","","","","","","","","","RWD","","","","","","","","","","","","","","","","","","","","","","","160162472636","","","","","","","","","","","","","","","","136416150241","","","","","","","","","","","","","","","","",""
"156673483472","","","","Chennai","2025-09-13 20:46","https://drahomes.in","B2C; Building Management; Commercial Services; Construction; Customer Care; Delivery; Leasing; Marketplace; Property Buying; Property Development; Real Estate; Remodelers; Residential","DRA Homes","","India","IN","2025-09-13 20:34","Vivek Sridhar","","0.0","DRA Homes offers luxurious, eco-friendly residences in Chennai, establishing itself as a trusted and premier property developer and builder in the region.","51 - 250","https://facebook.com/drahomesindia","","","","","2025-09-08 16:38","","","true","","","Real Estate","Real Estate","","false","","","","","","","2026-03-03 11:14","","","","","","","","","Customer","","https://linkedin.com/company/dra-homes","company/dra-homes","https://na1.hubspot-logos.com/e915a24a-253a-441e-b8ad-b44170eecda3","","","","0.0","7.0","0.0","0.0","0.0","0.0","75.0","","0.0","","","","","","","","","","600003","","","","","2026-03-07 11:14","","Mobile iOS","","","","$10M - $50M","","State of Tamil Nadu","TN","","","","","","","","","","","","","","","","dra_homes","","Vivek Sridhar","Benchmarkemail; Cloud Flare; ElasticEmail; Google Apps; Google Maps; Google Tag Manager; Microsoft Project; Recaptcha","https://drahomes.in","","","","","","","","DRA - Optima;DRA Trinity ;DRA Skylantis;226/24 DRA Urbania;DRA D'Elite;DRA - Gokulam rental;DRA Truliv Navalur","","","","","","","","","DRA - Optima;DRA Trinity ;DRA Skylantis;226/24 DRA Urbania;DRA D'Elite;DRA - Gokulam rental;DRA Truliv Navalur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157294401252;157294541545;157304029912;159746281154;159746283230;159842782907;160495880952","","","","","","","","","157294401252;157294541545;157304029912;159746281154;159746283230;159842782907;160495880952","","","","","","","","","","","","","","","","","","","","","","","",""
"156674495186","","","","","2025-09-13 20:25","https://geeyam.com","","Geeyam Constructions LLP","","","","2025-09-13 20:23","Vivek Sridhar","","0.0","","","","","","","","2025-09-08 16:38","","","true","","","Real Estate","","","","","","","","","","2025-12-16 17:36","","","","","","","","","Customer","","","","https://na1.hubspot-logos.com/6b8a866b-1b09-4834-a4da-fe8066a8213e","","","","0.0","6.0","0.0","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","2025-12-16 17:36","","Mobile iOS","","","","","","","","","","","","","","","","","","","","","","","","","Vivek Sridhar","","https://geeyam.com","","","","","","","","Geeyam Suryakantha;Geeyam Constructions LLP Skantha;GEEYAM PRASANG;Geeyam Meenakshi Illam;Geeyam - Nandini St mary's Road;Geeyam - luz Avenue 3.3kw","","","","","","","","","Geeyam Suryakantha;Geeyam Constructions LLP Skantha;GEEYAM PRASANG;Geeyam Meenakshi Illam;Geeyam - Nandini St mary's Road;Geeyam - luz Avenue 3.3kw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157184576243;157296774890;157304029909;159746283215;159771324104;160169657035","","","","","","","","","157184576243;157296774890;157304029909;159746283215;159771324104;160169657035","","","","","","","","","","","","","","","","","","","","","","","",""
"136379321080","","","","","","dangote.com","","Dangote","","","","2025-08-11 16:24","","","","","","","","2025-08-11 16:24","","","","","","","","","","","","","2024-12-14 13:18","","","","","","2025-08-11 16:25","","","","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","2025-08-11 16:24","","Lead","","","","https://na1.hubspot-logos.com/03c7c30c-4a05-4773-8c64-6d279846c922","","","","1.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","","","","","","","","","","","CRM Setting","""Create and associate companies with contacts"" setting","","","","","","","","","","2025-08-11 16:24","","","","","","","","","","","","","","","","dangote.com","","","","","","","","","","","rama.srinivasan@dangote.com","","","","","","","","","","","","","","","","","","","","Analysis of Returns - Solar Power for our Ibese Plant in Nigeria.","rama.srinivasan@dangote.com","","","","","","","","","","","","","","","","","","203666383578","","","","","","","","","","","","","","","","","","","","175200948972","203666383578","","","","","","","","",""
"136377474757","","","","","","care.edu.in","","Chettinad Academy of Research And Education","","","","2025-08-11 16:23","","","","","","","","2025-08-11 16:23","","","","","","","","","","","","","2024-12-19 10:36","","","","","","2025-08-11 16:25","","","","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","2025-08-11 16:23","","Lead","","","","https://na1.hubspot-logos.com/a7a7135e-2b0c-4344-8539-b84655503f1f","","","","2.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","","","","","","","","","","","CRM Setting","""Create and associate companies with contacts"" setting","","","","","","","","","","2025-08-11 16:23","","","","","","","","","","","","","","","","care.edu.in","","","","","","","","","","","Vignesh P (vigneshp@care.edu.in);Infra Purchase (infra.purchase@care.edu.in)","","","","","","","","","","","","","","","","","","","","Retention claim - Chettinad RHC Poonjery","Vignesh P (vigneshp@care.edu.in);Infra Purchase (infra.purchase@care.edu.in)","","","","","","","","","","","","","","","","","","203657007819;203667513054","","","","","","","","","","","","","","","","","","","","175772883682","203657007819;203667513054","","","","","","","","",""
"135748147928","","","","","","subiksham.co.in","","Subiksham JS Consultants","","","","2025-08-11 16:23","","","","","","","","2025-08-11 16:23","","","2025-09-08 16:38","","","","","","Management Consulting","","","","2024-12-22 18:53","","","","","","2025-09-14 19:38","","","","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","2025-08-11 16:23","","Opportunity","","","","","","","","1.0","4.0","0.0","0.0","0.0","0.0","","0.0","4.0","0.0","0.0","0.0","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","","","","","","","","","","","CRM Setting","""Create and associate companies with contacts"" setting","","","","","","","","","","2025-08-11 16:23","","","","","","","","","","","","","","Vivek Sridhar","","subiksham.co.in","","","","","","","","JS consultant ( hostel pallaipakkam));Js consultant;JS CONSULTANT;Subhiksam Consultants","","","designers subiksham (designers@subiksham.co.in)","","","","","","JS consultant ( hostel pallaipakkam));Js consultant;JS CONSULTANT;Subhiksam Consultants","","","","","","","","","","","","","","Fwd: Re: Tafe Final Bill Statement;Re: Fwd: Re: Tafe Final Bill Statement","designers subiksham (designers@subiksham.co.in)","","","","","","","","","","","","","","","157184576244;159746283237;159861429962;160194839242","","","203666293497","","","","","","157184576244;159746283237;159861429962;160194839242","","","","","","","","","","","","","","175873120978;175878619896","203666293497","","","","","","","","",""
"136373837536","","","","","","sseipl.com","","","","","","2025-08-11 16:22","","","","","","","","2025-08-11 16:22","","","","","","","","","Management Consulting","","","","2024-12-27 18:11","","","","","","2025-09-13 21:42","","","","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","2025-08-11 16:22","","Lead","","","","","","","","2.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","","","","","","","","","","","CRM Setting","""Create and associate companies with contacts"" setting","","","","","","","","","","2025-08-11 16:22","","","","","","","","","","","","","","Vivek Sridhar","","sseipl.com","","","","","","","","","","","Jai Bhaskar (jai@sseipl.com);Bhaskar Ramaraju (bhaskar@sseipl.com)","","","","","","","","","","","","","","","","","","","","HINDU SCHOOL -  SITE MEETING","Jai Bhaskar (jai@sseipl.com);Bhaskar Ramaraju (bhaskar@sseipl.com)","","","","","","","","","","","","","","","","","","203656961774;203666267874","","","","","","","","","","","","","","","","","","","","175530576612","203656961774;203666267874","","","","","","","","",""
"136379291364","","","","","","cnvmst.in","","","","","","2025-08-11 16:22","","","","","","","","2025-08-11 16:22","","","","","","","","","Management Consulting","","","","2024-12-27 18:11","","","","","","2025-09-13 21:43","","","","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","2025-08-11 16:22","","Lead","","","","","","","","2.0","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","","","","","","","","","","","CRM Setting","""Create and associate companies with contacts"" setting","","","","","","","","","","2025-08-11 16:22","","","","","","","","","","","","","","Vivek Sridhar","","cnvmst.in","","","","","","","","","","","Keerthana Muralidharan (keerthana.m@cnvmst.in);Aishwarya KV (aishwarya.kv@cnvmst.in)","","","","","","","","","","","","","","","","","","","","HINDU SCHOOL -  SITE MEETING","Keerthana Muralidharan (keerthana.m@cnvmst.in);Aishwarya KV (aishwarya.kv@cnvmst.in)","","","","","","","","","","","","","","","","","","203620759266;203708212965","","","","","","","","","","","","","","","","","","","","175530576612","203620759266;203708212965","","","","","","","","",""
"136379274956","","","","","2025-09-13 21:02","navins.in","","Navin's","","","","2025-08-11 16:22","","","33.0","","","","","2025-08-11 16:22","","","2025-09-08 16:38","","","","","","Real Estate","","","","2025-01-03 14:53","","","","","","2025-09-13 21:02","","","","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","2025-08-11 16:22","","Opportunity","","","","https://na1.hubspot-logos.com/6a82bb5d-d621-4ace-97c1-29c0f26c9cfe","","","","4.0","7.0","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","Offline Sources","EMAIL_INTEGRATION","OnboardingDataSync","","","","","","","","","2025-09-13 19:11","","CRM Setting","""Create and associate companies with contacts"" setting","","","","","","","","","","2025-08-11 16:22","","","","","","","","","","","","","","Vivek Sridhar","","navins.in","","","","","","","","Navins RP Enclave;Navins office AMC;Navins Sankalpa;Navins Starwood;Navins Lakshmi Narayanan;Navins Tnagar 5 KW;Navins construction Vyakarna","","","Prabakar R (prabakar.r@navins.in);Vidyasagar P (Technical) (vidyasagar.p@navins.in);Murugan (murugan@navins.in);Kalyanaraman N Chief Operating Officer (kalyanaraman.n@navins.in)","","","","","","Navins RP Enclave;Navins office AMC;Navins Sankalpa;Navins Starwood;Navins Lakshmi Narayanan;Navins Tnagar 5 KW;Navins construction Vyakarna","","","","","","","","","","","","","","Shiroi Energy LLP - Rooftop Solar PV System - 36 KWp - Navins Starwood Phase 3 - Payment reg","Prabakar R (prabakar.r@navins.in);Vidyasagar P (Technical) (vidyasagar.p@navins.in);Murugan (murugan@navins.in);Kalyanaraman N Chief Operating Officer (kalyanaraman.n@navins.in)","","","","","","","","","","","","","","","157294656221;157304114880;159746281157;160162472638;160169657027;160200232676;160205628102","","","203656941266;203658214078;203668656853;203668656854","","","","","","157294656221;157304114880;159746281157;160162472638;160169657027;160200232676;160205628102","","","","","","","","","","","","","","175920999098","203656941266;203658214078;203668656853;203668656854","","","","","","","","",""
